Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2023-03-15,35.87,35.2,36.11,35,3.54,-1.4
2023-03-14,35,35.7,35.73,34.68,5.89,1.85
2023-03-13,35.96,35.05,36.88,34.51,14.6,-1.07
2023-03-10,34.84,35.43,36.08,34.45,9.49,0.57
2023-03-09,35.2,35.23,35.27,34.54,4.09,0.69
2023-03-08,34.99,34.99,35.22,34.62,5.23,0.32
2023-03-07,36,34.88,36.06,34.86,8.22,-3
2023-03-06,35.69,35.96,36.43,35.5,6.86,1.44
2023-03-03,35.08,35.45,35.71,34.83,5.78,-0.11
2023-03-01,35.48,35.49,35.94,35.11,4.06,0.28
2023-02-28,35.1,35.39,35.52,34.8,4.14,0.74
2023-02-27,35,35.13,35.18,34.51,1.84,1.06
2023-02-24,35.18,34.76,35.39,34.42,4.55,-0.8
2023-02-23,34.26,35.04,35.43,34.04,8.79,2.46
2023-02-22,34.5,34.2,34.5,33.56,9.31,-0.84
2023-02-21,35.5,34.49,35.5,34.02,7.98,-1.99
2023-02-20,36.3,35.19,36.42,35.05,6.17,-2.3
2023-02-17,36.55,36.02,36.62,35.58,8.05,-1.32
2023-02-16,35.5,36.5,36.55,34.78,12.06,3.34
2023-02-15,35,35.32,35.84,34.75,7.7,0.66
2023-02-14,35.81,35.09,36.18,34.82,11.24,-1.46
2023-02-13,37,35.61,37.2,35.15,18.94,-3.57
2023-02-10,37.81,36.93,37.85,35.92,19.24,-2.82
2023-02-09,38,38,38.7,37.8,8.09,0.93
2023-02-08,38.95,37.65,38.99,37.45,16.67,-1.7
2023-02-07,38.6,38.3,39.1,37.25,15.85,-2.49
2023-02-06,40.8,39.28,41.09,39.11,13.04,-4.4
2023-02-03,42,41.09,42.24,40.74,5.85,-2.17
2023-02-02,41.81,42,42.78,41.6,10.97,2.39
2023-02-01,44,41.02,44,40.25,25.76,-6.77
2023-01-31,42.8,44,44.3,42.5,12.51,2.56
2023-01-30,42.4,42.9,42.96,41.62,6.77,1.63
2023-01-27,42.58,42.21,43.39,42.11,7.66,-0.35
2023-01-26,42.22,42.36,42.76,41.71,4.98,1.53
2023-01-25,42.3,41.72,42.8,41.6,6.18,-1.95
2023-01-24,42.59,42.55,43.72,42.37,10.44,0.66
2023-01-23,42.85,42.27,43.58,42.06,9.53,0.62
2023-01-20,41.59,42.01,42.21,41.08,8.57,1.23
2023-01-19,42.2,41.5,42.73,41.15,9.33,-2.47
2023-01-18,43.66,42.55,44,42.36,15.12,-2.5
2023-01-17,43.51,43.64,44.28,43.02,5.52,0.32
2023-01-16,43.29,43.5,44.26,43.15,7.98,0.49
2023-01-13,44.11,43.29,44.23,43,8.07,-1.77
2023-01-12,44.8,44.07,45.69,43.3,11.37,-1.63
2023-01-11,46,44.8,46.45,44.8,8.21,-2.5
2023-01-10,45.6,45.95,46.58,45,13.7,0.33
2023-01-09,47.5,45.8,48.17,44.87,24.63,-2.18
2023-01-05,45.95,46.82,48.28,45.52,29.7,2.09
2023-01-04,43.23,45.86,45.86,43.23,19,6.65
2023-01-03,43.03,43,44,42.8,8.35,-1.01
2023-01-02,43,43.44,44.17,42.33,6.73,1.33
2022-12-30,43.4,42.87,44.2,42.47,11.34,-1.43
2022-12-29,42.97,43.49,43.78,42.26,12.27,1.07
2022-12-28,41.36,43.03,43.46,40.69,23.47,4.54
2022-12-27,40.28,41.16,42.22,40.28,23.62,2.64
2022-12-23,38.85,40.1,40.1,38.85,19.26,2.87
2022-12-22,38.32,38.98,39.33,38.32,14.47,1.51
2022-12-21,37.7,38.4,38.4,37.48,10.11,1.96
2022-12-20,37.1,37.66,38.29,37.04,4.96,-1.1
2022-12-19,36.42,38.08,38.42,36.11,9.44,5.08
2022-12-16,36.4,36.24,36.87,36.12,12.77,-0.71
2022-12-15,38.03,36.5,38.13,36.5,11,-4.43
2022-12-14,38.5,38.19,38.73,38,5.18,-1.11
2022-12-13,38.08,38.62,39.2,37.51,7.91,1.71
2022-12-12,38.23,37.97,38.23,37.38,3.37,-0.73
2022-12-09,38.55,38.25,38.88,37.79,3.8,0.24
2022-12-08,38.7,38.16,38.7,37.8,3.12,-1.4
2022-12-07,38,38.7,38.7,37.7,3.81,1.84
2022-12-06,39.2,38,39.2,38,4.09,-3.26
2022-12-05,38.32,39.28,39.45,37.78,7.9,3.64
2022-12-02,37.8,37.9,38.48,37,9.47,-3.04
2022-12-01,38.4,39.09,39.18,38.35,8.76,4.05
2022-11-30,38,37.57,38.5,37.53,4.58,-0.84
2022-11-29,38.9,37.89,38.98,37.69,3.69,-1.1
2022-11-28,39,38.31,39.04,38.12,5.27,-2.94
2022-11-25,39.47,39.47,39.47,39.47,0,0
2022-11-24,37.9,39.47,40.9,37.5,19.04,4.89
2022-11-23,37.9,37.63,38.2,37.3,4.24,-0.19
2022-11-22,36.45,37.7,37.78,36.22,5.28,3.66
2022-11-21,37.79,36.37,38.01,36.37,6.2,-3.76
2022-11-18,36.9,37.79,37.83,35.9,8.85,2.52
2022-11-17,39,36.86,39.29,36.77,10.64,-4.66
2022-11-16,39.4,38.66,39.9,38.5,9.18,-3.35
2022-11-15,40.65,40,41,39.13,12.39,0.3
2022-11-14,38.26,39.88,41.25,38.26,29.9,4.64
2022-11-10,36.8,38.11,38.25,35.58,9.87,3
2022-11-09,37.29,37,37.8,36.56,4.86,-0.78
2022-11-08,36.57,37.29,37.3,35.85,7.29,2
2022-11-07,37.84,36.56,37.84,36,16.65,-4.29
2022-11-04,36.33,38.2,39.22,36.33,16.26,5.21
2022-11-03,36.86,36.31,37.4,36.01,4.83,-3.76
2022-11-02,36.86,37.73,37.94,36.86,8.54,2.39
2022-10-31,35.96,36.85,36.94,35.68,5.6,3.51
2022-10-28,35,35.6,35.99,34.66,5.65,0.71
2022-10-27,37,35.35,37,35.3,10.81,-5.08
2022-10-26,34.01,37.24,37.24,34,8.39,5.77
2022-10-25,36,35.21,36.59,34.8,3.1,-1.34
2022-10-24,35.01,35.69,36.6,34.59,4.73,2
